"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"UMBC","PHrez","C. Falcon","12","20","0","32","37","1628","4/25/2015 2:40:44 AM"
"","Magi","","4","4","0","8","50","1626","5/8/2015 7:45:28 PM"
"","spud","","8","16","0","24","33","1619","5/8/2015 7:45:28 PM"
"","Breeze","","4","4","0","8","50","1605","3/6/2015 5:42:09 PM"
"","Breakfast","","10","20","0","30","33","1534","5/8/2015 7:45:28 PM"
"","Dank Fox","","5","10","0","15","33","1530","4/10/2015 5:34:48 PM"
"","Wicked","","5","8","0","13","38","1516","4/25/2015 2:40:44 AM"
"","King","","4","8","0","12","33","1463","2/28/2015 12:01:48 AM"
"","Sloth","","4","4","0","8","50","1440","5/8/2015 7:45:28 PM"
"","BlackMagic754","Peach/Fox","8","20","0","28","28","1420","4/3/2015 5:38:00 PM"
"","Brynk","","5","6","0","11","45","1418","5/8/2015 7:45:28 PM"
"","General Tso","","3","6","0","9","33","1352","4/23/2015 8:16:21 PM"
"","Gay Luigi","","3","6","0","9","33","1347","4/23/2015 8:16:21 PM"
"","Big Papi","","9","30","0","39","23","1310","4/10/2015 5:34:48 PM"
"","Freeze","","7","16","0","23","30","1307","4/25/2015 2:40:44 AM"
"","Hop","","5","12","0","17","29","1305","5/8/2015 7:45:28 PM"
"","PattyLove","","4","8","0","12","33","1271","10/3/2014 12:00:00 AM"
"","2Shinez","","3","4","0","7","42","1246","4/25/2015 2:40:44 AM"
"UMBC","Bacon Incarnate","Jigglypuff","4","6","0","10","40","1222","4/23/2015 8:16:21 PM"
"","Daniel","","3","4","0","7","42","1212","4/23/2015 8:16:21 PM"
"","Flavio","Luigi","4","10","0","14","28","1188","5/1/2015 5:26:22 PM"
"","Galen","","3","4","0","7","42","1184","9/12/2014 12:00:00 AM"
"","I love Taylor Swift","","2","4","0","6","33","1179","4/3/2015 5:38:00 PM"
"","Vince","Marth","3","6","0","9","33","1171","4/23/2015 8:16:21 PM"
"","Bonk","C. Falcon","4","8","0","12","33","1169","2/13/2015 12:00:00 AM"
"","Chibi","Luigi","5","16","0","21","23","1150","5/8/2015 7:45:28 PM"
"","JustBlameHax","","4","16","0","20","20","1082","5/8/2015 7:45:28 PM"
"","Pablo","","3","6","0","9","33","1080","4/23/2015 8:16:21 PM"
"","Wing","","3","4","0","7","42","1059","2/28/2015 12:01:48 AM"
"","Tall T","","3","10","0","13","23","1054","5/1/2015 5:26:22 PM"
"UMBC","Foxy Boxy","","3","6","0","9","33","936","2/6/2015 12:00:00 AM"
"","Fatness","","3","19","0","22","13","902","5/1/2015 5:26:22 PM"
"","Flee","","2","4","0","6","33","893","5/8/2015 7:45:28 PM"
"","Keith","Marth","2","10","0","12","16","866","5/8/2015 7:45:28 PM"
"","Heka","","2","4","0","6","33","799","1/30/2015 12:00:00 AM"
"","ItsKrunchTime","Dr. Mario/Marth","2","20","0","22","9","796","4/25/2015 2:40:44 AM"
"","Fuzzy Dunlop","","2","6","0","8","25","783","2/20/2015 12:00:00 AM"
"","Squazzil","","2","4","0","6","33","783","4/10/2015 5:34:48 PM"
"","Mercury","","2","14","0","16","12","758","5/8/2015 7:45:28 PM"
"","Rush","","2","4","0","6","33","751","2/28/2015 12:01:48 AM"
"","Bruso","","1","6","0","7","14","688","11/14/2014 12:00:00 AM"
"","Ted","","2","6","0","8","25","665","2/13/2015 12:00:00 AM"
"","Vhat","","2","10","0","12","16","625","2/20/2015 12:00:00 AM"
"","Jimyo","","2","6","0","8","25","622","2/20/2015 12:00:00 AM"
"","Bob","","2","12","0","14","14","561","5/8/2015 7:45:28 PM"
"","Purple","","1","18","0","19","5","538","5/1/2015 5:26:22 PM"
"","Stratos","","1","8","0","9","11","494","2/28/2015 12:01:48 AM"
"","BunnE","","1","6","0","7","14","439","4/25/2015 2:40:44 AM"
"","007","","1","6","0","7","14","373","10/31/2014 12:00:00 AM"
"","C-Vern","","1","6","0","7","14","278","2/13/2015 12:00:00 AM"
"","Doh","Falco","1","6","0","7","14","274","1/30/2015 12:00:00 AM"
"","nijp","","0","6","0","6","0","85","11/14/2014 12:00:00 AM"
"","Bear","","0","8","0","8","0","0","5/8/2015 7:45:28 PM"
"","World Peace","","0","6","0","6","0","0","2/13/2015 12:00:00 AM"
"","Pascal","Falco","0","8","0","8","0","0","11/21/2014 12:00:00 AM"
