"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","emoDinosaur","Falco","94","24","0","118","79","3846","4/23/2015 8:16:21 PM"
"","SG","Fox","86","19","0","105","81","3830","4/23/2015 8:16:21 PM"
"","Brown Shirt","Fox","76","32","0","108","70","3609","3/27/2015 5:45:47 PM"
"","Jimmy","Peach","50","22","0","72","69","3530","4/10/2015 12:00:00 AM"
"","The Brig","C. Falcon","75","36","0","111","67","3448","4/23/2015 8:16:21 PM"
"","AceOfFlakes","Jigglypuff","43","19","0","62","69","3443","4/10/2015 12:00:00 AM"
"","Mike Melee","Falco","23","10","0","33","69","3416","4/23/2015 8:16:21 PM"
"","Aglet","Jigglypuff","7","1","0","8","87","3352","2/20/2015 12:00:00 AM"
"","Wife","Peach","6","0","0","6","100","3325","11/21/2014 12:00:00 AM"
"","Phatcat","Marth","39","20","0","59","66","3314","4/3/2015 5:38:00 PM"
"","Sypher Phoenix","Fox","9","4","0","13","69","3283","3/27/2015 5:45:47 PM"
"","EPhoenix","Fox","10","4","0","14","71","3227","2/6/2015 12:00:00 AM"
"","Nurok","Falco","16","5","0","21","76","3205","4/25/2015 2:40:44 AM"
"","Peanutphobia","Yoshi","56","38","0","94","59","3088","4/3/2015 5:38:00 PM"
"","Gerg","Falco","42","24","0","66","63","3086","3/27/2015 5:45:47 PM"
"","Lock","Samus","7","2","0","9","77","3084","9/5/2014 12:00:00 AM"
"","Chivalruse","Marth/Ice Climbers","39","24","0","63","61","3081","4/23/2015 8:16:21 PM"
"","Dutch","Sheik","61","38","0","99","61","3047","4/25/2015 2:40:44 AM"
"","P4","Marth","52","30","0","82","63","3038","4/25/2015 2:40:44 AM"
"","Wenz","Dr. Mario","12","6","0","18","66","3037","4/3/2015 5:38:00 PM"
"","Husband","","5","1","0","6","83","2990","4/3/2015 5:38:00 PM"
"","Astrum","C. Falcon","6","2","0","8","75","2969","11/7/2014 12:00:00 AM"
"","Cava","Luigi","15","8","0","23","65","2811","4/10/2015 12:00:00 AM"
"","Silence","Fox","27","18","0","45","60","2808","4/25/2015 2:40:44 AM"
"","Sooji","","5","2","0","7","71","2784","3/27/2015 5:45:47 PM"
"","Kokowam","Fox","9","4","0","13","69","2782","1/30/2015 12:00:00 AM"
"","Crescent Monkey","Marth/C. Falcon","15","8","0","23","65","2775","4/3/2015 5:38:00 PM"
"","Reslived","Sheik","20","16","0","36","55","2693","2/20/2015 12:00:00 AM"
"","ARisingShadow","Falco","31","22","0","53","58","2679","4/25/2015 2:40:44 AM"
"","Nighthart","Falco","24","18","0","42","57","2630","4/25/2015 2:40:44 AM"
"","Takeover","Falco","34","28","0","62","54","2627","4/23/2015 8:16:21 PM"
"","Bacon Pancakes","Fox","8","4","0","12","66","2593","4/3/2015 5:38:00 PM"
"","Jisoo","Ice Climbers","30","22","0","52","57","2573","4/10/2015 12:00:00 AM"
"","Vin","Falco","38","32","0","70","54","2570","4/25/2015 2:40:44 AM"
"","Kvn","Sheik","41","34","0","75","54","2545","4/25/2015 2:40:44 AM"
"","CTL","","4","2","0","6","66","2538","2/28/2015 12:01:48 AM"
"","~20%","Fox","21","16","0","37","56","2522","4/10/2015 12:00:00 AM"
"","Slurp","","9","4","0","13","69","2508","4/25/2015 2:40:44 AM"
"","Mada Jr","Marth","48","40","0","88","54","2486","4/25/2015 2:40:44 AM"
"","Mr. H","Fox","27","22","0","49","55","2477","4/3/2015 5:38:00 PM"
"","Ed","C. Falcon","31","28","0","59","52","2453","4/25/2015 2:40:44 AM"
"","Bouyer","Falco","33","34","0","67","49","2448","4/3/2015 5:38:00 PM"
"","Tichinde925","","4","2","0","6","66","2442","4/25/2015 2:40:44 AM"
"","tdude51","Marth","7","6","0","13","53","2391","4/23/2015 8:16:21 PM"
"","JSP","Peach/Fox","8","4","0","12","66","2371","4/10/2015 12:00:00 AM"
"","Slikvik","Peach","6","4","0","10","60","2362","9/12/2014 12:00:00 AM"
"","AlexThe13th","","15","10","0","25","60","2360","4/25/2015 2:40:44 AM"
"UMBC","Sylvx","Sheik","6","2","0","8","75","2357","1/30/2015 12:00:00 AM"
"","Soil","","15","10","0","25","60","2357","3/6/2015 5:42:09 PM"
"","Brotherly","Fox","37","36","0","73","50","2344","4/23/2015 8:16:21 PM"
"","JewChainz","Sheik","6","6","0","12","50","2198","2/6/2015 12:00:00 AM"
"","Tree","","5","2","0","7","71","2162","4/25/2015 2:40:44 AM"
"","Loose Butthole","Peach","10","12","0","22","45","2097","4/23/2015 8:16:21 PM"
"","Neel","Marth","10","10","0","20","50","2073","4/25/2015 2:40:44 AM"
"","Stone","Marth","21","27","0","48","43","2052","3/6/2015 5:42:09 PM"
"","Tristump","Fox","19","25","0","44","43","2025","4/23/2015 8:16:21 PM"
"","PopeHat","Marth","23","34","0","57","40","1994","4/25/2015 2:40:44 AM"
"","Dennis Bulbul","","4","4","0","8","50","1968","4/25/2015 2:40:44 AM"
"","JippyTheLion","Sheik","14","18","0","32","43","1932","2/13/2015 12:00:00 AM"
"","Low Key Milf","","4","2","0","6","66","1843","4/25/2015 2:40:44 AM"
"","YoungKFromTheBOONS","C. Falcon","6","6","0","12","50","1833","4/3/2015 5:38:00 PM"
"","Peter Ho","","10","13","0","23","43","1817","4/25/2015 2:40:44 AM"
"","kyle","","14","18","0","32","43","1815","4/25/2015 2:40:44 AM"
"","Swooty","Gannondorf","11","10","0","21","52","1779","4/10/2015 12:00:00 AM"
